Season	Site	Occ1	Occ2	SVL	TL	Sex	Cap	Ind
Spring	P1A	1	1	43	86	U	N	xxBBP1A
Spring	P1A	1	1	33	66	U	N	xYxBP1A
Spring	P1A	1	1	42	84	M	N	xYBxP1A
Spring	P1A	1	1	36	76	U	N	xYYxP1A
Spring	P1A	1	1	44	76	M	N	xxBYP1A
Spring	P1A	1	1	42	74	U	N	xBxYP1A
Spring	P1A	1	1	40	76	U	N	xYxYP1A
Spring	P1B	1	1	37	77	U	N	xxYBP1B
Spring	P1B	1	1	23	40	U	N	xxxYP1B
Spring	P1B	1	1	39	76	U	N	xxYYP1B
Spring	P2A	1	2	43	82	M	N	x(OB)B(OB)P2A
Spring	P2A	1	2	36	73	U	N	BBYxP2A
Spring	P2A	1	2	33	59	U	N	xBYxP2A
Spring	P2B	1	2	37	72	U	N	xBxBP2B
Fall	P1A	1	1	43	84	M	N	YYxBP1A
Fall	P1A	1	1	41	69	M	N	YxYBP1A
Fall	P1A	1	1	38	78	M	N	xYYBP1A
Fall	P1A	1	1	33	76	U	N	xBxxP1A
Fall	P1A	1	1	42	68	U	N	BxYxP1A
Fall	P1A	1	1	33	66	U	N	xBBYP1A
Fall	P1A	1	1	44	81	M	N	BxxYP1A
Fall	P1A	1	1	33	70	U	N	YxYYP1A
Fall	P1A	1	1	45	90	M	N	xYYYP1A
Fall	P1A	1	1	40	79	M	R	xxBYP1A
Fall	P1A	2	2	NA	NA	NA	N	BP1A
Fall	P1A	2	2	40	81	M	N	xRBBP1A
Fall	P1A	2	2	43	86	U	N	xRBOP1A
Fall	P1A	2	2	NA	NA	NA	N	OP1A
Fall	P1A	2	2	43	81	M	N	xOROP1A
Fall	P1A	2	2	40	69	M	N	BxxOP1A
Fall	P1A	2	2	39	66	M	N	xORRP1A
Fall	P1A	2	2	NA	NA	NA	N	RP1A
Fall	P1A	2	2	37	71	M	N	BxxRP1A
Fall	P1A	2	2	36	72	F	N	xBBxP1A
Fall	P1A	2	2	31	60	U	N	RBxxP1A
Fall	P1A	2	2	41	83	U	N	xRBYP1A
Fall	P1A	2	2	NA	NA	NA	N	YP1A
Fall	P1A	2	2	NA	NA	NA	N	YP1A
Fall	P1A	2	2	44	84	M	R	YYxBP1A
Fall	P1A	2	2	43	79	M	R	xxBYP1A
Fall	P1A	2	2	36	72	U	R	YxYYP1A
Fall	P1B	1	2	44	89	M	N	xORBP1B
Fall	P1B	1	2	42	84	M	N	BxxBP1B
Fall	P1B	1	2	42	80	F	N	xRYBP1B
Fall	P1B	1	2	37	69	M	N	xOBOP1B
Fall	P1B	1	2	44	97	U	N	RRBRP1B
Fall	P1B	1	2	51	91	F	N	xRBRP1B
Fall	P1B	1	2	32	75	M	N	xBxRP1B
Fall	P1B	1	2	33	67	U	N	BxOxP1B
Fall	P1B	1	2	41	88	M	N	OxOxP1B
Fall	P1B	1	2	35	65	M	N	xYOxP1B
Fall	P1B	1	2	43	87	M	N	RYRxP1B
Fall	P1B	1	2	39	77	F	R	xxYYP1B
Fall	P2A	1	3	37	39	F	N	xOOBP2A
Fall	P2A	1	3	37	76	M	N	xORBP2A
Fall	P2A	1	3	26	48	U	N	xxxBP2A
Fall	P2A	1	3	33	68	M	N	xOYBP2A
Fall	P2A	1	3	42	81	F	N	xOOOP2A
Fall	P2A	1	3	39	75	U	N	xBxOP2A
Fall	P2A	1	3	42	82	M	N	YRxOP2A
Fall	P2A	1	3	28	45	U	N	xxxOP2A
Fall	P2A	1	3	43	88	F	N	xOYOP2A
Fall	P2A	1	3	41	80	M	N	xOORP2A
Fall	P2A	1	3	42	83	F	N	YRxRP2A
Fall	P2A	1	3	29	62	U	N	OxxRP2A
Fall	P2A	1	3	28	53	U	N	xxxRP2A
Fall	P2A	1	3	36	74	F	N	xOYRP2A
Fall	P2A	1	3	31	54	U	N	xxYRP2A
Fall	P2A	1	3	39	86	M	N	RRBxP2A
Fall	P2A	1	3	23	42	U	N	xxBxP2A
