site,year,spp,mig.stat,n.terr
casto,2005,ACFL,long,1.5
cherry,2005,ACFL,long,1
creeks,2005,ACFL,long,1.25
elkrun,2005,ACFL,long,0
galena,2005,ACFL,long,0.75
kennynorth,2005,ACFL,long,0
kennysouth,2005,ACFL,long,0
lounorth,2005,ACFL,long,1
lousouth,2005,ACFL,long,0
prairie,2005,ACFL,long,1.5
pubhunt,2005,ACFL,long,1
rushrunnorth,2005,ACFL,long,0
rushrunsouth,2005,ACFL,long,0
sgalena,2005,ACFL,long,2
tuttlenorth,2005,ACFL,long,1
tuttlesouth,2005,ACFL,long,0
woodside,2005,ACFL,long,1
casto,2006,ACFL,long,0.25
cherry,2006,ACFL,long,1
creeks,2006,ACFL,long,1.25
elkrun,2006,ACFL,long,0
galena,2006,ACFL,long,1.5
kennynorth,2006,ACFL,long,0
kennysouth,2006,ACFL,long,0
lounorth,2006,ACFL,long,1
lousouth,2006,ACFL,long,1
prairie,2006,ACFL,long,2
pubhunt,2006,ACFL,long,2
rushrunnorth,2006,ACFL,long,0
rushrunsouth,2006,ACFL,long,0
sgalena,2006,ACFL,long,2
tuttlenorth,2006,ACFL,long,0
tuttlesouth,2006,ACFL,long,0
woodside,2006,ACFL,long,2
casto,2007,ACFL,long,0.25
cherry,2007,ACFL,long,1
creeks,2007,ACFL,long,1.75
elkrun,2007,ACFL,long,0.5
galena,2007,ACFL,long,1.75
kennynorth,2007,ACFL,long,0
kennysouth,2007,ACFL,long,0
lounorth,2007,ACFL,long,0
lousouth,2007,ACFL,long,0
prairie,2007,ACFL,long,1.5
pubhunt,2007,ACFL,long,0.5
rushrunnorth,2007,ACFL,long,0.5
rushrunsouth,2007,ACFL,long,0.25
sgalena,2007,ACFL,long,1
tuttlenorth,2007,ACFL,long,0
tuttlesouth,2007,ACFL,long,0
woodside,2007,ACFL,long,1
casto,2008,ACFL,long,1
cherry,2008,ACFL,long,0.5
creeks,2008,ACFL,long,2.5
elkrun,2008,ACFL,long,1
galena,2008,ACFL,long,1
kennynorth,2008,ACFL,long,0
kennysouth,2008,ACFL,long,0
lounorth,2008,ACFL,long,0
lousouth,2008,ACFL,long,1
prairie,2008,ACFL,long,1.5
pubhunt,2008,ACFL,long,1
rushrunnorth,2008,ACFL,long,0.5
rushrunsouth,2008,ACFL,long,0.25
sgalena,2008,ACFL,long,1
tuttlenorth,2008,ACFL,long,1
tuttlesouth,2008,ACFL,long,1
woodside,2008,ACFL,long,1
casto,2009,ACFL,long,0.5
cherry,2009,ACFL,long,0.75
creeks,2009,ACFL,long,2
elkrun,2009,ACFL,long,1
galena,2009,ACFL,long,2
kennynorth,2009,ACFL,long,0
kennysouth,2009,ACFL,long,0
lounorth,2009,ACFL,long,0.75
lousouth,2009,ACFL,long,1
prairie,2009,ACFL,long,1
pubhunt,2009,ACFL,long,1
rushrunnorth,2009,ACFL,long,0
rushrunsouth,2009,ACFL,long,0
sgalena,2009,ACFL,long,1
tuttlenorth,2009,ACFL,long,0
tuttlesouth,2009,ACFL,long,1
woodside,2009,ACFL,long,1
casto,2010,ACFL,long,1.5
cherry,2010,ACFL,long,1
creeks,2010,ACFL,long,2
elkrun,2010,ACFL,long,1
galena,2010,ACFL,long,2
kennynorth,2010,ACFL,long,0
