hr.size	sex	site	nobs	ndays	urban0.50	upland0.50	wetland0.50	urban1.50	upland1.50	wetland1.50
67.31747926	FEMALE	Brevard	48	348	0.312948608	0.215905828	0.440137812	0.363894812	0.165019061	0.454900821
45.09950574	FEMALE	Avonpark	38	354	0	0.701119724	0.299741602	0	0.666602055	0.346417264
165.3479523	FEMALE	Brevard	10	331	0	0.692793569	0.236003445	0.014796149	0.672546359	0.243231892
358.6785208	FEMALE	Avonpark	52	662	0.090439276	0.723514212	0.188343382	0.062641339	0.596724171	0.351360083
160.0820867	FEMALE	Avonpark	80	737	0	0.564455929	0.437840942	0	0.552561866	0.459552885
108.2595514	FEMALE	Brevard	107	1158	0.545793856	0.178868791	0.266724088	0.297182917	0.229954125	0.403049687
237.4738025	MALE	Brevard	53	916	0.002871088	0.533161068	0.465977606	0.08250953	0.401175938	0.489694385
87.81669489	MALE	Brevard	12	287	0	0.385300029	0.580534022	0	0.299735091	0.664308328
73.76221937	MALE	Brevard	48	378	0.597473442	0.25667528	0.149296583	0.598533307	0.243425729	0.115493959
1054.090342	MALE	Brevard	36	957	0	0.492678725	0.465690497	0.008787233	0.465529495	0.490986625
61.28897954	MALE	Brevard	81	762	0.04105656	0.541487224	0	0.037765717	0.134683724	0.006719649
36.71482034	FEMALE	Brevard	80	971	0.868217054	0.074648292	0.05799598	0.578729728	0.289849454	0.104413
518.0210456	MALE	Avonpark	60	725	0	0.451335056	0.544932529	0	0.509465659	0.498093946
133.6099709	MALE	Brevard	109	902	0	0.799598048	0.115130635	0.003973638	0.498352394	0.212476578
160.5836181	MALE	Brevard	36	718	0	0.572207867	0.330175136	0.002293726	0.541642437	0.427149964
25.96375076	FEMALE	Brevard	36	288	0.288257249	0.192075797	0.501866207	0.682690444	0.114912451	0.19031466
399.1257695	FEMALE	Avonpark	61	656	0	0.389032443	0.614412862	0	0.483588551	0.52384183
66.0265081	MALE	Brevard	36	351	0.387022682	0.220499569	0.267872524	0.57701751	0.179072172	0.151482846
83.22610186	FEMALE	Brevard	81	802	0.014068332	0.341659489	0.06775768	0.018963623	0.352070815	0.123570459
323.804014	MALE	Avonpark	77	720	0.088429515	0.663221361	0.253229974	0.309911482	0.357045939	0.311591394
181.6880994	FEMALE	Brevard	79	1203	0	0.720068906	0.241745622	0	0.624830393	0.331071913
818.1839606	MALE	Avonpark	17	335	0	0.921619294	0.0846971	0	0.76361698	0.244330297
15.45829725	MALE	Brevard	21	399	0	0.490668964	0.491817399	0.019222071	0.604800672	0.366027008
181.7346559	MALE	Brevard	45	287	0	0.722365777	0.236577663	0.015216127	0.563029011	0.283452866
18.79311333	FEMALE	Brevard	90	870	0.326729831	0.282802182	0.354579386	0.531336822	0.203495509	0.170672611
82.02353593	MALE	Brevard	10	304	0.307780649	0.425782372	0.032443296	0.155133424	0.396426956	0.181365898
42.07778723	MALE	Brevard	65	696	0	0.014355441	0.057708872	0.014182335	0.050785036	0.082864896
69.76693556	FEMALE	Brevard	84	559	0.323858742	0.129486075	0.526844674	0.671157201	0.119079925	0.196937391
198.7952211	MALE	Brevard	87	495	0.197530864	0.652598335	0.146999713	0.150772113	0.487303741	0.057084706
49.48914313	FEMALE	Brevard	64	663	0.089290841	0.643410853	0.266149871	0.299250501	0.405666473	0.298087485
135.4911492	FEMALE	Avonpark	24	307	0.019523399	0.327016939	0.606086707	0.21657944	0.420204174	0.318666408
81.79020888	MALE	Brevard	48	1455	0	0.427217916	0.561871949	0.016928345	0.593881243	0.387478193
334.6504505	MALE	Brevard	14	534	0	0.725523974	0.263565891	0.010467145	0.550332752	0.281191445
