hr.size	urban1.50	upland1.50	wetland1.50
67.32	0.36	0.17	0.45
45.10	0.00	0.67	0.35
165.35	0.01	0.67	0.24
358.68	0.06	0.60	0.35
160.08	0.00	0.55	0.46
108.26	0.30	0.23	0.40
237.47	0.08	0.40	0.49
87.82	0.00	0.30	0.66
73.76	0.60	0.24	0.12
1054.09	0.01	0.47	0.49
61.29	0.04	0.13	0.01
36.71	0.58	0.29	0.10
518.02	0.00	0.51	0.50
133.61	0.00	0.50	0.21
160.58	0.00	0.54	0.43
25.96	0.68	0.11	0.19
399.13	0.00	0.48	0.52
66.03	0.58	0.18	0.15
83.23	0.02	0.35	0.12
323.80	0.31	0.36	0.31
181.69	0.00	0.62	0.33
818.18	0.00	0.76	0.24
15.46	0.02	0.60	0.37
181.73	0.02	0.56	0.28
18.79	0.53	0.20	0.17
82.02	0.16	0.40	0.18
42.08	0.01	0.05	0.08
69.77	0.67	0.12	0.20
198.80	0.15	0.49	0.06
49.49	0.30	0.41	0.30
135.49	0.22	0.42	0.32
81.79	0.02	0.59	0.39
334.65	0.01	0.55	0.28
52.03	0.56	0.12	0.30
194.34	0.00	0.62	0.40
78.04	0.03	0.58	0.39
316.45	0.00	0.65	0.36
371.30	0.00	0.50	0.52
21.89	0.72	0.10	0.16
86.12	0.01	0.49	0.46
493.47	0.00	0.69	0.25
375.79	0.00	0.03	0.18
293.58	0.00	0.48	0.54
237.77	0.04	0.85	0.06
95.64	0.57	0.37	0.06
143.79	0.00	0.68	0.29
236.64	0.11	0.50	0.30
381.86	0.00	0.20	0.74
285.42	0.01	0.46	0.49
54.43	0.49	0.36	0.15
17.91	0.38	0.41	0.21
716.75	0.00	0.57	0.44
102.51	0.00	0.68	0.29
99.19	0.23	0.47	0.30
412.32	0.00	0.57	0.44
1130.25	0.01	0.42	0.53
99.14	0.00	0.50	0.50
90.42	0.40	0.09	0.09
352.88	0.13	0.81	0.02
223.33	0.45	0.10	0.09
409.03	0.01	0.61	0.33
748.27	0.00	0.70	0.32
107.79	0.13	0.17	0.13
309.85	0.03	0.68	0.18
237.07	0.01	0.45	0.50
72.83	0.01	0.72	0.15
18.37	0.53	0.12	0.12
126.89	0.05	0.86	0.07
79.62	0.01	0.46	0.53
216.69	0.10	0.48	0.29
230.57	0.01	0.38	0.58
203.78	0.00	0.49	0.49
47.88	0.60	0.26	0.16
277.73	0.00	0.67	0.30
98.10	0.00	0.46	0.37
41.89	0.00	0.16	0.09
700.49	0.00	0.53	0.22
126.73	0.06	0.44	0.04
34.32	0.09	0.33	0.21
125.70	0.00	0.63	0.24
376.75	0.00	0.16	0.12
250.85	0.00	0.32	0.33
595.17	0.00	0.20	0.29
168.89	0.00	0.80	0.18
351.32	0.02	0.49	0.23
41.62	0.00	0.40	0.31
401.35	0.01	0.81	0.17
507.67	0.00	0.64	0.14
308.50	0.00	0.11	0.17
135.65	0.00	0.33	0.37
30.20	0.00	0.26	0.47
56.65	0.00	0.18	0.20
